AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	DiscontinuitySum	DiscontinuityAve	DiscontinuityNum	RTF
1828.325	0.288	1437.335	1275.476	220.0	1828.325	2	1105.941	1105.941	1	1.094
2075.504	0.377	2008.464	2008.464	240.0	2075.504	2	262.041	262.041	1	1.097
1195.336	0.548	1043.378	1021.098	240.0	1195.336	2	583.492	583.492	1	1.132
1710.399	0.534	1710.399	1710.399	380.0	1710.399	1	0.0	0.0	0	1.237
2069.328	0.386	2016.922	2016.922	420.0	2069.328	2	152.381	152.381	1	1.176
1497.111	0.314	1169.601	1037.331	460.0	1497.111	2	963.401	963.401	1	1.211
974.682	0.966	1042.167	1042.167	620.0	974.682	2	140.499	140.499	1	1.456
1429.019	0.449	1198.18	1108.941	220.0	1429.019	2	526.712	526.712	1	1.119
1813.396	0.535	1813.396	1813.396	600.0	1813.396	1	0.0	0.0	0	1.354
2076.904	0.542	2076.904	2076.904	940.0	2076.904	1	0.0	0.0	0	1.491
1907.083	0.54	1907.083	1907.083	800.0	1907.083	1	0.0	0.0	0	1.453
1704.762	0.548	1704.762	1704.762	880.0	1704.762	1	0.0	0.0	0	1.565
2052.108	0.357	2052.108	2052.108	620.0	2052.108	1	0.0	0.0	0	1.324
1633.185	0.549	1633.185	1633.185	560.0	1633.185	1	0.0	0.0	0	1.377
1690.663	1.028	2037.387	2037.387	608.209	1690.663	2	0.0	0.0	0	1.28
1394.795	1.092	1394.795	1394.795	240.0	1394.795	1	0.0	0.0	0	1.188
1689.93	0.992	2030.306	2030.306	260.0	1689.93	2	56.281	56.281	1	1.114
2091.677	0.28	2091.677	2091.677	1240.0	2091.677	1	0.0	0.0	0	1.663
1232.595	0.568	1082.572	1047.934	540.0	1232.595	2	480.272	480.272	1	1.3
1096.288	0.879	1096.288	1040.462	900.0	1096.288	2	522.222	522.222	1	1.517
1740.521	0.539	1740.521	1740.521	540.0	1740.521	1	0.0	0.0	0	1.334
1283.359	0.537	1115.921	1033.718	360.0	1283.359	2	789.252	789.252	1	1.179
2047.341	0.48	2017.12	2017.12	700.0	2047.341	2	210.431	210.431	1	1.286
2052.09	0.395	2016.437	2016.437	740.0	2052.09	2	171.111	171.111	1	1.32
2250.486	1.133	2250.486	2250.486	406.259	2250.486	2	0.0	0.0	0	1.192
1711.586	1.002	2026.65	2026.65	700.0	1711.586	2	36.281	36.281	1	1.308
1429.69	0.37	1429.69	1429.69	720.0	1429.69	1	0.0	0.0	0	1.558
973.274	0.89	1031.969	1031.969	200.0	973.274	2	261.633	261.633	1	1.131
1938.426	0.553	1938.426	1938.426	1120.0	1938.426	1	0.0	0.0	0	1.639
1693.398	0.292	1291.004	1031.097	320.0	1693.398	2	1442.63	1442.63	1	1.119
1755.648	0.25	1316.283	1038.432	820.0	1755.648	2	1416.19	1416.19	1	1.311
1421.136	0.388	1148.211	1031.596	240.0	1421.136	2	943.401	943.401	1	1.11
2025.034	0.71	2025.034	2025.034	485.578	2025.034	2	0.0	0.0	0	1.246
1108.837	0.836	1108.837	1034.147	920.0	1108.837	2	673.152	673.152	1	1.486
633.155	2.058	1041.273	1041.273	923.447	932.293	2	0.0	0.0	0	1.772
592.732	1.991	1031.429	1031.429	243.447	891.87	2	0.0	0.0	0	1.203
1061.733	1.101	1061.733	1061.733	240.0	1061.733	1	0.0	0.0	0	1.249
1095.981	1.136	1095.981	1095.981	700.0	1095.981	1	0.0	0.0	0	1.726
1032.97	2.315	1032.97	1032.97	784.036	1032.97	2	0.0	0.0	0	1.803
1342.578	1.179	1342.578	1342.578	1140.0	1342.578	1	0.0	0.0	0	2.001
599.02	2.001	1032.297	1032.297	203.447	898.158	2	0.0	0.0	0	1.17
1056.159	1.165	1056.159	1056.159	1140.0	1056.159	1	0.0	0.0	0	2.258
1287.881	1.109	1287.881	1287.881	660.0	1287.881	1	0.0	0.0	0	1.568
1027.246	1.195	1027.246	1027.246	1160.0	1027.246	1	0.0	0.0	0	2.349
1223.184	1.108	1223.184	1223.184	500.0	1223.184	1	0.0	0.0	0	1.453
654.524	2.174	1047.014	1047.014	984.717	933.345	2	0.0	0.0	0	1.883
1224.98	1.087	1224.98	1224.98	200.0	1224.98	1	0.0	0.0	0	1.177
607.171	2.015	1038.83	1038.83	283.447	906.31	2	0.0	0.0	0	1.237
606.103	1.975	1035.159	1035.159	240.0	916.851	2	22.993	22.993	1	1.193
600.961	1.924	1038.964	1038.964	260.0	926.222	2	81.043	81.043	1	1.2
609.757	1.882	1042.427	1042.427	180.0	955.336	2	162.313	162.313	1	1.13
1334.044	1.184	1334.044	1334.044	1160.0	1334.044	1	0.0	0.0	0	2.029
624.613	1.896	1054.68	1054.68	180.0	973.094	2	53.923	53.923	1	1.129
622.352	2.093	1042.045	1042.045	621.497	906.977	2	0.0	0.0	0	1.546
647.479	1.858	1041.639	1041.639	820.0	1024.984	2	210.023	210.023	1	1.543
598.147	1.752	1028.244	1028.244	320.0	995.97	2	351.293	351.293	1	1.201
598.17	1.873	1029.256	1029.256	300.0	940.846	2	130.703	130.703	1	1.219
