AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	RTF
1983.925	0.282	1983.925	1983.925	-362.016	1983.925	1.0	0.846
1966.122	0.2	1966.122	1966.122	-495.919	1966.122	1.0	0.799
1862.58	0.34	1862.58	1862.58	39.088	1862.58	1.0	1.021
1647.282	0.343	1647.282	1647.282	44.38	1647.282	1.0	1.028
1957.65	0.164	1957.65	1957.65	-434.731	1957.65	1.0	0.818
1959.944	0.18	1959.944	1959.944	-223.457	1959.944	1.0	0.898
							
1885.531	0.34	1885.531	1885.531	38.819	1885.531	1.0	1.021
1732.663	0.511	1732.663	1732.663	36.881	1732.663	1.0	1.022
1959.279	0.511	1959.279	1959.279	42.907	1959.279	1.0	1.022
1804.533	0.511	1804.533	1804.533	39.091	1804.533	1.0	1.022
1598.033	0.513	1598.033	1598.033	41.57	1598.033	1.0	1.027
1961.461	0.341	1961.461	1961.461	45.089	1961.461	1.0	1.024
1527.619	0.514	1527.619	1527.619	40.816	1527.619	1.0	1.027
1961.683	0.452	1961.683	1961.683	-210.108	1961.683	1.0	0.903
							
1961.546	0.287	1961.546	1961.546	-314.735	1961.546	1.0	0.862
1907.09	0.34	1907.09	1907.09	37.158	1907.09	1.0	1.02
1842.575	0.341	1842.575	1842.575	42.303	1842.575	1.0	1.023
1782.546	0.512	1782.546	1782.546	40.324	1782.546	1.0	1.023
1651.502	0.511	1651.502	1651.502	36.99	1651.502	1.0	1.023
1959.594	0.325	1959.594	1959.594	-49.658	1959.594	1.0	0.975
1958.079	0.2	1958.079	1958.079	-492.352	1958.079	1.0	0.799
1957.379	0.212	1957.379	1957.379	-353.732	1957.379	1.0	0.847
1961.304	0.464	1961.304	1961.304	-152.437	1961.304	1.0	0.928
1961.107	0.431	1961.107	1961.107	-315.174	1961.107	1.0	0.862
							
1564.63	0.514	1564.63	1564.63	42.997	1564.63	1.0	1.028
1799.595	0.513	1799.595	1799.595	45.763	1799.595	1.0	1.026
1961.537	0.146	1961.537	1961.537	-721.093	1961.537	1.0	0.731
1990.415	0.151	1990.415	1990.415	-645.775	1990.415	1.0	0.755
1965.89	0.225	1965.89	1965.89	-217.511	1965.89	1.0	0.9
1960.521	0.331	1960.521	1960.521	-13.901	1960.521	1.0	0.993
1933.911	0.511	1933.911	1933.911	40.759	1933.911	1.0	1.022
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
1417.679	1.026	1417.679	1417.679	35.366	1417.679	1.0	1.026
							
1431.827	1.027	1431.827	1431.827	37.904	1431.827	1.0	1.027
							
1557.101	1.031	1557.101	1557.101	47.078	1557.101	1.0	1.031
1634.838	1.027	1634.838	1634.838	43.546	1634.838	1.0	1.027
1416.593	1.033	1416.593	1416.593	45.89	1416.593	1.0	1.033
1722.484	1.023	1722.484	1722.484	38.312	1722.484	1.0	1.023
1432.137	1.027	1432.137	1432.137	38.214	1432.137	1.0	1.027
1571.936	1.025	1571.936	1571.936	38.693	1571.936	1.0	1.025
1549.498	1.026	1549.498	1549.498	39.475	1549.498	1.0	1.026
							
							
							
							
1960.646	0.082	1960.646	1960.646	-2022.302	1960.646	1.0	0.492
1804.223	0.511	1804.223	1804.223	38.781	1804.223	1.0	1.022
1961.875	0.318	1961.875	1961.875	-93.817	1961.875	1.0	0.954
1958.553	0.302	1958.553	1958.553	-201.628	1958.553	1.0	0.907
1962.416	0.296	1962.416	1962.416	-244.205	1962.416	1.0	0.889
1957.289	0.166	1957.289	1957.289	-992.371	1957.289	1.0	0.664
1960.411	0.122	1960.411	1960.411	-1256.278	1960.411	1.0	0.609
1969.386	0.125	1969.386	1969.386	-1189.253	1969.386	1.0	0.623
1958.852	0.171	1958.852	1958.852	-909.538	1958.852	1.0	0.683
1957.342	0.179	1957.342	1957.342	-783.338	1957.342	1.0	0.714
1965.196	0.182	1965.196	1965.196	-729.044	1965.196	1.0	0.729
